       mw          cp           t         gam
   1.9391E+01  2.5732E+01  3.6320E+00  3.2895E+03
   1.9392E+01  2.5988E+01  3.2753E+00  3.0820E+03
   1.9391E+01  2.5741E+01  3.6069E+00  3.2941E+03
   1.9392E+01  2.5996E+01  3.2505E+00  3.0854E+03
   1.9391E+01  2.5750E+01  3.5832E+00  3.2985E+03
   1.9393E+01  2.6003E+01  3.2273E+00  3.0886E+03
   1.9392E+01  2.5394E+01  5.4059E+00  3.0276E+03
   1.9393E+01  2.5720E+01  5.1079E+00  2.8776E+03
   1.9392E+01  2.5538E+01  4.9592E+00  3.0951E+03
   1.9393E+01  2.5855E+01  4.6695E+00  2.9343E+03
   1.9392E+01  2.5621E+01  4.7168E+00  3.1343E+03
   1.9393E+01  2.5932E+01  4.4308E+00  2.9669E+03
   1.9393E+01  2.5680E+01  4.5529E+00  3.1619E+03
   1.9394E+01  2.5986E+01  4.2688E+00  2.9896E+03
   1.9393E+01  2.5726E+01  4.4302E+00  3.1832E+03
   1.9394E+01  2.6027E+01  4.1473E+00  3.0070E+03
   1.9393E+01  2.5763E+01  4.3327E+00  3.2005E+03
   1.9394E+01  2.6061E+01  4.0506E+00  3.0211E+03
   1.9393E+01  2.5794E+01  4.2522E+00  3.2150E+03
   1.9395E+01  2.6089E+01  3.9706E+00  3.0328E+03
   1.9394E+01  2.5821E+01  4.1838E+00  3.2275E+03
   1.9395E+01  2.6113E+01  3.9026E+00  3.0429E+03
   1.9394E+01  2.5844E+01  4.1245E+00  3.2385E+03
   1.9395E+01  2.6134E+01  3.8435E+00  3.0517E+03
   1.9394E+01  2.5865E+01  4.0723E+00  3.2483E+03
   1.9396E+01  2.6153E+01  3.7915E+00  3.0596E+03
   2.0181E+01  2.5884E+01  4.0257E+00  3.2571E+03
   2.0194E+01  2.6169E+01  3.7451E+00  3.0666E+03
   2.0186E+01  2.5901E+01  3.9837E+00  3.2651E+03
   2.0195E+01  2.6184E+01  3.7031E+00  3.0729E+03
   2.0188E+01  2.5917E+01  3.9455E+00  3.2724E+03
   2.0196E+01  2.6198E+01  3.6650E+00  3.0787E+03
   2.0190E+01  2.5932E+01  3.9105E+00  3.2792E+03
   2.0196E+01  2.6211E+01  3.6301E+00  3.0841E+03
   2.0191E+01  2.5945E+01  3.8783E+00  3.2854E+03
   2.0197E+01  2.6223E+01  3.5978E+00  3.0890E+03
   2.0192E+01  2.5958E+01  3.8484E+00  3.2913E+03
   2.0197E+01  2.6234E+01  3.5680E+00  3.0936E+03
   2.0192E+01  2.5969E+01  3.8206E+00  3.2968E+03
   2.0197E+01  2.6244E+01  3.5401E+00  3.0979E+03
   2.0193E+01  2.5980E+01  3.7946E+00  3.3019E+03
